"filename", "language", "JavaScript", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\antho\Documents\GitHub\Software_Project\ALDI_APP\server\public\asset-manifest.json", "JSON", 0, 9, 0, 0, 0, 9
"c:\Users\antho\Documents\GitHub\Software_Project\ALDI_APP\server\public\index.html", "HTML", 0, 0, 1, 0, 0, 1
"c:\Users\antho\Documents\GitHub\Software_Project\ALDI_APP\server\public\manifest.json", "JSON", 0, 25, 0, 0, 1, 26
"c:\Users\antho\Documents\GitHub\Software_Project\ALDI_APP\server\public\static\js\main.31d6cfe0.js", "JavaScript", 0, 0, 0, 0, 1, 1
"c:\Users\antho\Documents\GitHub\Software_Project\ALDI_APP\server\routes\CreateTicket.js", "JavaScript", 11, 0, 0, 0, 5, 16
"c:\Users\antho\Documents\GitHub\Software_Project\ALDI_APP\server\routes\api\employee.js", "JavaScript", 15, 0, 0, 1, 4, 20
"c:\Users\antho\Documents\GitHub\Software_Project\ALDI_APP\server\routes\api\employee_account.js", "JavaScript", 5, 0, 0, 0, 2, 7
"c:\Users\antho\Documents\GitHub\Software_Project\ALDI_APP\server\routes\auth.js", "JavaScript", 5, 0, 0, 0, 2, 7
"c:\Users\antho\Documents\GitHub\Software_Project\ALDI_APP\server\routes\logout.js", "JavaScript", 5, 0, 0, 0, 2, 7
"c:\Users\antho\Documents\GitHub\Software_Project\ALDI_APP\server\routes\pto.js", "JavaScript", 5, 0, 0, 0, 2, 7
"c:\Users\antho\Documents\GitHub\Software_Project\ALDI_APP\server\routes\refresh.js", "JavaScript", 5, 0, 0, 0, 2, 7
"c:\Users\antho\Documents\GitHub\Software_Project\ALDI_APP\server\routes\register.js", "JavaScript", 5, 0, 0, 0, 2, 7
"c:\Users\antho\Documents\GitHub\Software_Project\ALDI_APP\server\routes\root.js", "JavaScript", 7, 0, 0, 0, 2, 9
"c:\Users\antho\Documents\GitHub\Software_Project\ALDI_APP\server\routes\ticket.js", "JavaScript", 6, 0, 0, 1, 2, 9
"c:\Users\antho\Documents\GitHub\Software_Project\ALDI_APP\server\server.js", "JavaScript", 46, 0, 0, 1, 14, 61
"c:\Users\antho\Documents\GitHub\Software_Project\ALDI_APP\server\services\employee.service.js", "JavaScript", 40, 0, 0, 5, 12, 57
"Total", "-", 1039, 5766, 1, 185, 134, 7125
